date_only,sentiment,Date,returns
2020-03-09,-0.15555555555555553,2020-03-09,-0.07909216721638546
2020-03-10,0.021708333333333333,2020-03-10,0.07202157201866832
2020-03-11,0.01862373737373737,2020-03-11,-0.0347302451243664
2020-03-12,-0.08304761904761905,2020-03-12,-0.0987549622666728
2020-03-13,0.06921487603305786,2020-03-13,0.11980807984854303
2020-03-16,0.01113636363636364,2020-03-16,-0.12864700218063463
2020-03-17,0.03467261904761905,2020-03-17,0.043970340432260224
2020-03-18,0.1040909090909091,2020-03-18,-0.024480052756669424
2020-03-19,0.0,2020-03-19,-0.007662052741594927
2020-03-20,0.08541666666666667,2020-03-20,-0.06348546536053978
2020-03-23,-0.03645833333333333,2020-03-23,-0.021244298388263694
2020-03-24,0.03333333333333333,2020-03-24,0.10032528491252224
2020-03-25,0.05394570707070707,2020-03-25,-0.005508617892869161
2020-03-26,0.3,2020-03-26,0.05262289942554221
2020-03-27,0.1117003367003367,2020-03-27,-0.041402109855004254
2020-03-30,0.040625,2020-03-30,0.028537832415648
2020-03-31,-0.03,2020-03-31,-0.00204061104434472
2020-04-01,-0.008928571428571428,2020-04-01,-0.05261692424121833
2020-04-02,0.175,2020-04-02,0.01668658215237695
2020-04-03,0.0,2020-04-03,-0.014371376639517819
2020-04-06,0.0125,2020-04-06,0.08723733467281636
2020-04-07,0.045,2020-04-07,-0.011582267021325143
2020-04-08,0.05,2020-04-08,0.025594370093401153
2020-04-09,0.0,2020-04-09,0.007216141849164748
2020-04-13,0.008333333333333333,2020-04-13,0.01962782191727941
2020-04-14,0.14272727272727273,2020-04-14,0.05050293049021293
2020-04-15,0.06944444444444443,2020-04-15,-0.009126995029391738
2020-04-16,0.1271701388888889,2020-04-16,0.007945708943408736
2020-04-17,0.05431818181818182,2020-04-17,-0.013568871140122951
2020-04-20,0.052083333333333336,2020-04-20,-0.020756816184605342
2020-04-21,0.07636363636363637,2020-04-21,-0.03090986509826188
2020-04-22,0.10539772727272728,2020-04-22,0.028803251969064858
2020-04-23,0.12291666666666666,2020-04-23,-0.003875518616257012
2020-04-24,-0.10833333333333334,2020-04-24,0.028869787394719015
2020-04-27,0.04248060966810967,2020-04-27,0.0007064536328629245
2020-04-28,-0.025,2020-04-28,-0.016208889573145147
2020-04-29,0.03096590909090909,2020-04-29,0.03284488327759205
2020-04-30,0.10127314814814814,2020-04-30,0.021096040718127984
2020-05-01,0.017012987012987014,2020-05-01,-0.016099162223816577
2020-05-04,0.05735930735930735,2020-05-04,0.014148700604035946
2020-05-05,-0.060416666666666674,2020-05-05,0.015008965177577993
2020-05-06,0.02909090909090909,2020-05-06,0.010317132176925758
2020-05-08,-0.02857142857142857,2020-05-08,0.02380199412934214
2020-05-11,-0.21875,2020-05-11,0.01573544935544069
2020-05-12,0.024999999999999998,2020-05-12,-0.011428205613222553
2020-05-13,-0.11666666666666665,2020-05-13,-0.012074340281674978
2020-05-14,0.05833333333333333,2020-05-14,0.006143321465619023
2020-05-15,0.10634920634920635,2020-05-15,-0.005911889099965317
2020-05-18,0.25,2020-05-18,0.02356121470387973
2020-05-19,0.027314814814814806,2020-05-19,-0.00577838891137461
2020-05-20,-0.0471861471861472,2020-05-20,0.019448191621391553
2020-05-21,0.027979797979797976,2020-05-21,-0.007455606314973107
2020-05-22,-0.4,2020-05-22,0.00643836676002385
2020-05-26,0.2388888888888889,2020-05-26,-0.006773455025391173
2020-05-27,0.14181818181818182,2020-05-27,0.004356977764851777
2020-05-28,0.11666666666666665,2020-05-28,0.0004398009255499602
2020-05-29,0.4333333333333333,2020-05-29,-0.0009738192774895182
2020-06-01,0.03661616161616162,2020-06-01,0.012298054153828897
2020-06-02,-0.07083333333333332,2020-06-02,0.004629397475512054
2020-06-09,0.08833333333333333,2020-06-09,0.03157791949566513
2020-06-10,0.1669191919191919,2020-06-10,0.025727708839456742
